Agent Selection Mode,--,Network-wide,--
,,108_110,1000.00
,,110_112,1000.00
,,114_116,2000.00
,,128_130,1000.00
,,136_138,1000.00
,,206_208,2000.00
,,210_212,1000.00
,,246_248,2000.00
,,248_250,1000.00
,,266_268,2000.00
,,270_272,1000.00
,,304_306,1000.00
,,306_308,1000.00
,,344_346,1000.00
Category,Travel Time Bin (2 min Interval),Cumulative Number of Agents,
,,30_32,1000.00
,,34_36,2000.00
,,60_62,3000.00
,,72_74,4000.00
,,80_82,5000.00
,,96_98,6000.00
,,104_106,7000.00
,,108_110,8000.00
,,110_112,9000.00
,,114_116,11000.00
,,128_130,12000.00
,,136_138,13000.00
,,206_208,15000.00
,,210_212,16000.00
,,246_248,18000.00
,,248_250,19000.00
,,266_268,21000.00
,,270_272,22000.00
,,304_306,23000.00
,,306_308,24000.00
,,344_346,25000.00
Category,Travel Time Bin (2 min Interval),Total Travel Time (min),
,,72_74,4320.45
,,96_98,1564.24
,,108_110,206.20
,,114_116,12232.91
Category,Travel Time Bin (2 min Interval),Total Travel Distance ,
,,30_32,1132.09
,,34_36,1096.69
,,60_62,2361.32
,,72_74,636.50
,,80_82,1323.11
,,96_98,321.40
,,104_106,797.30
,,108_110,1659.41
,,110_112,2203.21
,,114_116,4265.40
,,128_130,1453.49
,,136_138,3132.88
,,206_208,4018.79
,,210_212,2609.11
,,246_248,6415.30
,,248_250,2213.11
,,266_268,4914.08
,,270_272,3056.82
,,304_306,3618.83
,,306_308,3691.83
,,344_346,2534.50
Category,Travel Time Bin (2 min Interval),Avg Travel Time (min),
,,72_74, 4.32
,,96_98, 1.56
,,108_110, 0.21
,,114_116, 6.12
Category,Travel Time Bin (2 min Interval),Avg Travel Distance ,
,,30_32, 1.13
,,34_36, 1.10
,,60_62, 2.36
,,72_74, 0.64
,,80_82, 1.32
,,96_98, 0.32
,,104_106, 0.80
,,108_110, 1.66
,,110_112, 2.20
,,114_116, 2.13
,,128_130, 1.45
,,136_138, 3.13
,,206_208, 2.01
,,210_212, 2.61
,,246_248, 3.21
,,248_250, 2.21
,,266_268, 2.46
,,270_272, 3.06
,,304_306, 3.62
,,306_308, 3.69
,,344_346, 2.53
Category,Travel Time Bin (2 min Interval),Avg Speed (distance/hour),
,,30_32,11320.91
,,34_36,10966.91
,,60_62,23613.21
,,72_74, 8.84
,,80_82,13231.11
,,96_98,12.33
,,104_106,7973.02
,,108_110,482.86
,,110_112,22032.12
,,114_116,20.92
,,128_130,14534.93
,,136_138,31328.77
,,206_208,40187.92
,,210_212,26091.13
,,246_248,64153.03
,,248_250,22131.13
,,266_268,49140.80
,,270_272,30568.19
,,304_306,36188.32
,,306_308,36918.31
,,344_346,25344.99
Category,Travel Time Bin (2 min Interval),Avg Travel Time Per distance (min/distance),
,,72_74, 6.79
,,96_98, 4.87
,,108_110, 0.12
,,114_116, 2.87
Category,Travel Time Bin (2 min Interval),Travel Time Index: mean/FFTT,
,,72_74, 1.46
,,96_98, 0.81
,,108_110, 0.04
,,114_116, 1.00
Category,Travel Time Bin (2 min Interval),Avg Travel Time STD (min),
,,30_32,16.80
,,34_36,23.92
,,60_62,16.90
,,72_74,33.02
,,80_82,25.01
,,96_98,31.39
,,104_106,30.52
,,108_110,31.68
,,110_112,25.03
,,114_116,35.04
,,128_130,16.78
,,136_138,22.21
,,206_208,20.23
,,210_212,20.79
,,246_248,21.44
,,248_250,21.34
,,266_268,24.97
,,270_272,25.39
,,304_306,25.82
,,306_308,25.89
,,344_346,21.29
Category,Travel Time Bin (2 min Interval),95th Percentile Travel Time (min),
,,30_32, 0.02
,,34_36,27.32
,,60_62, 0.02
,,72_74,78.59
,,80_82,26.99
,,96_98,74.42
,,104_106,64.37
,,108_110,68.94
,,110_112,17.70
,,114_116,82.81
,,128_130, 0.02
,,136_138, 0.02
,,206_208,25.99
,,210_212,29.61
,,246_248,33.51
,,248_250, 0.02
,,266_268,19.14
,,270_272,22.95
,,304_306,26.01
,,306_308,26.63
,,344_346, 0.02
Category,Travel Time Bin (2 min Interval),90th Percentile Travel Time (min),
,,30_32, 0.01
,,34_36, 8.89
,,60_62, 0.01
,,72_74,57.32
,,80_82, 0.03
,,96_98,44.41
,,104_106,40.24
,,108_110,44.44
,,110_112, 0.02
,,114_116,64.01
,,128_130, 0.01
,,136_138, 0.01
,,206_208, 0.03
,,210_212, 0.03
,,246_248, 0.03
,,248_250, 0.01
,,266_268, 0.02
,,270_272, 0.02
,,304_306, 0.02
,,306_308, 0.02
,,344_346, 0.01
Category,Travel Time Bin (2 min Interval),80th Percentile Travel Time (min),
,,34_36, 0.02
,,72_74,20.45
,,80_82, 0.01
,,96_98,13.55
,,104_106, 9.59
,,108_110,14.17
,,110_112, 0.01
,,114_116,28.87
,,206_208, 0.01
,,210_212, 0.01
,,246_248, 0.01
,,266_268, 0.01
,,304_306, 0.01
,,306_308, 0.01
Category,Travel Time Bin (2 min Interval),Planning Time Index: 95th percentile/FFTT,
,,34_36,16.61
,,72_74,26.58
,,80_82,13.65
,,96_98,38.59
,,104_106,19.51
,,108_110,11.75
,,110_112, 3.67
,,114_116,13.59
,,206_208, 9.63
,,210_212, 5.89
,,246_248, 6.04
,,266_268, 5.73
,,270_272, 4.05
,,304_306, 4.24
,,306_308, 4.27
Category,Travel Time Bin (2 min Interval),Buffer Index: (95th percentile - mean)/mean,
,,30_32,1264.82
,,34_36,3680.98
,,60_62,1257.43
,,72_74,17.19
,,80_82,3801.43
,,96_98,46.58
,,104_106,6507.23
,,108_110,333.32
,,110_112,3225.62
,,114_116,12.54
,,128_130,1262.68
,,136_138,1677.35
,,206_208,3509.03
,,210_212,3840.02
,,246_248,4198.32
,,248_250,1473.04
,,266_268,3133.03
,,270_272,3497.56
,,304_306,3783.58
,,306_308,3836.51
,,344_346,1470.92
Category,Travel Time Bin (2 min Interval),Skew Index: (90th %ile-median)/(median-10th %ile),
,,34_36, 0.19
,,72_74, 1.22
,,96_98, 0.94
,,104_106, 0.85
,,108_110, 0.94
,,114_116, 1.36
Category,Travel Time Bin (2 min Interval),Travel Time Per Distance Unit STD,
,,30_32,14.84
,,34_36,21.81
,,60_62, 7.16
,,72_74,51.88
,,80_82,18.91
,,96_98,97.68
,,104_106,38.28
,,108_110,19.09
,,110_112,11.36
,,114_116,16.44
,,128_130,11.55
,,136_138, 7.09
,,206_208,10.33
,,210_212, 7.97
,,246_248, 6.68
,,248_250, 9.64
,,266_268,10.34
,,270_272, 8.31
,,304_306, 7.14
,,306_308, 7.01
,,344_346, 8.40
Category,Travel Time Bin (2 min Interval),95th Percentile Travel Time Per Distance Unit,
,,30_32, 0.02
,,34_36,24.91
,,72_74,123.47
,,80_82,20.40
,,96_98,231.55
,,104_106,80.74
,,108_110,41.54
,,110_112, 8.04
,,114_116,38.84
,,128_130, 0.01
,,206_208,12.95
,,210_212,11.35
,,246_248,10.46
,,266_268, 7.85
,,270_272, 7.51
,,304_306, 7.19
,,306_308, 7.21
Category,Travel Time Bin (2 min Interval),90th Percentile Travel Time Per Distance Unit,
,,30_32, 0.01
,,34_36, 8.10
,,72_74,90.05
,,80_82, 0.02
,,96_98,138.17
,,104_106,50.47
,,108_110,26.78
,,110_112, 0.01
,,114_116,30.12
,,206_208, 0.01
,,210_212, 0.01
Category,Travel Time Bin (2 min Interval),80th Percentile Travel Time Per Distance Unit,
,,34_36, 0.01
,,72_74,32.13
,,96_98,42.16
,,104_106,12.03
,,108_110, 8.54
,,114_116,13.58
